Product Name,Status,Shopify Handle,Shopify Status,File Directory,Images in Shopify,Images in Files,Original Prefix
blue-dress-short,Missing from Shopify,N/A,N/A,D03.blue.dress.short,0,4,D03
blue-set-arfa,Missing from Shopify,N/A,N/A,D03.blue.set.arfa,0,3,D03
bronz-short-dress,Missing from Shopify,N/A,N/A,D03.bronz.short.dress,0,3,D03
brown-dress,Missing from Shopify,N/A,N/A,D03.brown.dress,0,5,D03
brown-dress-patata,Missing from Shopify,N/A,N/A,D03.brown.dress.patata,0,3,D03
brown-set-skirt,Missing from Shopify,N/A,N/A,D03.brown.set.skirt,0,3,D03
brown-skirt-chanel-amerikana,Missing from Shopify,N/A,N/A,D03.brown.skirt.chanel.amerikana,0,3,D03
brown-skirt-japan-khaki,Missing from Shopify,N/A,N/A,D03.brown.skirt.japan.khaki,0,4,D03
brown-white-rezinka,Missing from Shopify,N/A,N/A,D03.brown.white.rezinka,0,4,D03
green-poncho-black,Missing from Shopify,N/A,N/A,D03.green.poncho.black,0,5,D03
izumrud-short-dress,Missing from Shopify,N/A,N/A,D03.izumrud.short.dress,0,3,D03
long-hippy-set,Missing from Shopify,N/A,N/A,D03.long.hippy.set,0,3,D03
pink-balerina-dress,Missing from Shopify,N/A,N/A,D03.pink.balerina.dress,0,3,D03
pink-dress-noisy,Missing from Shopify,N/A,N/A,D03.pink.dress.noisy,0,4,D03
pink-dress-short,Missing from Shopify,N/A,N/A,D03.pink.dress.short,0,3,D03
pink-set-arfa,Missing from Shopify,N/A,N/A,D03.pink.set.arfa,0,3,D03
red-long-dress,Missing from Shopify,N/A,N/A,D03.red.long.dress,0,4,D03
red-skirt-japan-gris,Missing from Shopify,N/A,N/A,D03.red.skirt.japan.gris,0,3,D03
red-skirt-silk,Missing from Shopify,N/A,N/A,D03.red.skirt.silk,0,4,D03
short-dress-flower,Missing from Shopify,N/A,N/A,D03.short.dress.flower,0,3,D03
short-set-indy-hippy,Missing from Shopify,N/A,N/A,D03.short.set.indy.hippy,0,3,D03
sport-beige-straight,Missing from Shopify,N/A,N/A,D03.sport.beige.straight,0,4,D03
sport-black-straight,Missing from Shopify,N/A,N/A,D03.sport.black.straight,0,4,D03
sport-dark-beige-klesh,Missing from Shopify,N/A,N/A,D03.sport.dark.beige.klesh,0,3,D03
sport-dark-beige-straight,Missing from Shopify,N/A,N/A,D03.sport.dark.beige.straight,0,4,D03
sport-green-klesh,Missing from Shopify,N/A,N/A,D03.sport.green.klesh,0,3,D03
violetta-dress,Missing from Shopify,N/A,N/A,D03.violetta.dress,0,4,D03
white-black-school,Missing from Shopify,N/A,N/A,D03.white.black.school,0,4,D03
white-dress-patata,Missing from Shopify,N/A,N/A,D03.white.dress.patata,0,3,D03
white-long-dress,Missing from Shopify,N/A,N/A,D03.white.long.dress,0,5,D03
white-long-unamanga,Missing from Shopify,N/A,N/A,D03.white.long.unamanga,0,4,D03
white-romashka-dress,Missing from Shopify,N/A,N/A,D03.white.romashka.dress,0,3,D03
white-set-arfa,Missing from Shopify,N/A,N/A,D03.white.set.arfa,0,5,D03
white-set-blusa-skirt,Missing from Shopify,N/A,N/A,D03.white.set.blusa.skirt,0,3,D03
white-winter-set,Missing from Shopify,N/A,N/A,D03.white.winter.set,0,4,D03
