Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Addon Products (product.metafields.custom.addon_products),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
brown-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.dress\DSC07529.jpg",5,Brown Dress - View 5,,,,,,,,,,,,,,,
brown-dress-patata,Brown Dress Patata,<p>Stylish brown dress patata from our collection. High-quality dresses perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Dresses,Dresses,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.dress.patata\DSC08498.jpg",1,Brown Dress Patata,false,,,,,,,,,,,kg,,,active
brown-dress-patata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.dress.patata\DSC08501.jpg",2,Brown Dress Patata - View 2,,,,,,,,,,,,,,,
brown-dress-patata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.dress.patata\DSC08504.jpg",3,Brown Dress Patata - View 3,,,,,,,,,,,,,,,
brown-set-skirt,Brown Set Skirt,<p>Stylish brown set skirt from our collection. High-quality skirts perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Skirts,Skirts,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.set.skirt\DSC07402.jpg",1,Brown Set Skirt,false,,,,,,,,,,,kg,,,active
brown-set-skirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.set.skirt\DSC07412.jpg",2,Brown Set Skirt - View 2,,,,,,,,,,,,,,,
brown-set-skirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.set.skirt\DSC07425.jpg",3,Brown Set Skirt - View 3,,,,,,,,,,,,,,,
brown-skirt-chanel-amerikana,Brown Skirt Chanel Amerikana,<p>Stylish brown skirt chanel amerikana from our collection. High-quality skirts perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Skirts,Skirts,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.skirt.chanel.amerikana\DSC07475.jpg",1,Brown Skirt Chanel Amerikana,false,,,,,,,,,,,kg,,,active
brown-skirt-chanel-amerikana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.skirt.chanel.amerikana\DSC07490.jpg",2,Brown Skirt Chanel Amerikana - View 2,,,,,,,,,,,,,,,
brown-skirt-chanel-amerikana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.skirt.chanel.amerikana\DSC07493.jpg",3,Brown Skirt Chanel Amerikana - View 3,,,,,,,,,,,,,,,
brown-skirt-japan-khaki,Brown Skirt Japan Khaki,<p>Stylish brown skirt japan khaki from our collection. High-quality skirts perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Skirts,Skirts,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.skirt.japan.khaki\DSC07276.jpg",1,Brown Skirt Japan Khaki,false,,,,,,,,,,,kg,,,active
brown-skirt-japan-khaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.skirt.japan.khaki\DSC07282.jpg",2,Brown Skirt Japan Khaki - View 2,,,,,,,,,,,,,,,
brown-skirt-japan-khaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.skirt.japan.khaki\DSC07286.jpg",3,Brown Skirt Japan Khaki - View 3,,,,,,,,,,,,,,,
brown-skirt-japan-khaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.skirt.japan.khaki\DSC07290.jpg",4,Brown Skirt Japan Khaki - View 4,,,,,,,,,,,,,,,
brown-white-rezinka,Brown White Rezinka,<p>Stylish brown white rezinka from our collection. High-quality clothing perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing,Clothing,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.white.rezinka\DSC07712.jpg",1,Brown White Rezinka,false,,,,,,,,,,,kg,,,active
brown-white-rezinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.white.rezinka\DSC07727.jpg",2,Brown White Rezinka - View 2,,,,,,,,,,,,,,,
brown-white-rezinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.white.rezinka\DSC07732.jpg",3,Brown White Rezinka - View 3,,,,,,,,,,,,,,,
brown-white-rezinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.brown.white.rezinka\DSC07735.jpg",4,Brown White Rezinka - View 4,,,,,,,,,,,,,,,
green-poncho-black,Green Poncho Black,<p>Stylish green poncho black from our collection. High-quality clothing perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing,Clothing,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.green.poncho.black\DSC07579.jpg",1,Green Poncho Black,false,,,,,,,,,,,kg,,,active
green-poncho-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.green.poncho.black\DSC07592.jpg",2,Green Poncho Black - View 2,,,,,,,,,,,,,,,
green-poncho-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.green.poncho.black\DSC07601.jpg",3,Green Poncho Black - View 3,,,,,,,,,,,,,,,
green-poncho-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.green.poncho.black\DSC07602.jpg",4,Green Poncho Black - View 4,,,,,,,,,,,,,,,
green-poncho-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.green.poncho.black\DSC07608.jpg",5,Green Poncho Black - View 5,,,,,,,,,,,,,,,
izumrud-short-dress,Izumrud Short Dress,<p>Stylish izumrud short dress from our collection. High-quality dresses perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Dresses,Dresses,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.izumrud.short.dress\DSC08647.jpg",1,Izumrud Short Dress,false,,,,,,,,,,,kg,,,active
izumrud-short-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.izumrud.short.dress\DSC08658.jpg",2,Izumrud Short Dress - View 2,,,,,,,,,,,,,,,
izumrud-short-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.izumrud.short.dress\DSC08664.jpg",3,Izumrud Short Dress - View 3,,,,,,,,,,,,,,,
long-hippy-set,Long Hippy Set,<p>Stylish long hippy set from our collection. High-quality sets perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Outfit Sets,Sets,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.long.hippy.set\DSC07438.jpg",1,Long Hippy Set,false,,,,,,,,,,,kg,,,active
long-hippy-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.long.hippy.set\DSC07446.jpg",2,Long Hippy Set - View 2,,,,,,,,,,,,,,,
long-hippy-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.long.hippy.set\DSC07454.jpg",3,Long Hippy Set - View 3,,,,,,,,,,,,,,,
pink-balerina-dress,Pink Balerina Dress,<p>Stylish pink balerina dress from our collection. High-quality dresses perfect for any occasion.</p>,ROCCO,Apparel & Accessories > Clothing > Dresses,Dresses,,true,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,19.99,,true,true,,,,,,"C:\Users\user\Downloads\Shop\D03.pink.balerina.dress\DSC08274.jpg",1,Pink Balerina Dress,false,,,,,,,,,,,kg,,,active
pink-balerina-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.pink.balerina.dress\DSC08294.jpg",2,Pink Balerina Dress - View 2,,,,,,,,,,,,,,,
pink-balerina-dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\user\Downloads\Shop\D03.pink.balerina.dress\DSC08302.jpg",3,Pink Balerina Dress - View 3,,,,,,,,,,,,,,,
